ID,Sales
T1188341,48734.379380115395
T1188342,35898.243305705546
T1188343,70619.63703730277
T1188344,33002.642124055696
T1188345,36334.694187793335
T1188346,87455.40651464098
T1188347,58212.93999798628
T1188348,44503.72196944111
T1188349,48759.665743484824
T1188350,32048.560630953736
T1188351,36371.29244203791
T1188352,46858.529025548894
T1188353,36299.23589865724
T1188354,33901.772384517455
T1188355,38362.71720809675
T1188356,32660.045263335604
T1188357,43376.98785119746
T1188358,20019.633963493317
T1188359,24401.107246333704
T1188360,51287.36914764627
T1188361,28764.08244624646
T1188362,38100.75933080783
T1188363,38798.13599531448
T1188364,28267.441367354197
T1188365,35391.662020861775
T1188366,28531.665390186376
T1188367,33203.66610217351
T1188368,27964.28527940497
T1188369,33962.324913348864
T1188370,41547.25828626271
T1188371,35234.028631648915
T1188372,55060.066855859666
T1188373,32565.951115585194
T1188374,29559.97294967356
T1188375,75487.01150585762
T1188376,61251.151289619644
T1188377,29957.53342770259
T1188378,30276.55999953639
T1188379,25254.636819659147
T1188380,56604.42679345347
T1188381,28828.762262205095
T1188382,32036.927864174446
T1188383,31149.453376622503
T1188384,29697.619695375743
T1188385,42708.53620562838
T1188386,34176.288895607555
T1188387,60039.34563935254
T1188388,58349.703917985076
T1188389,30734.102704059933
T1188390,96560.47229314501
T1188391,33380.7457704199
T1188392,44050.29813165637
T1188393,63141.449239041765
T1188394,44987.7576394762
T1188395,30630.11540091005
T1188396,70352.51942397855
T1188397,40430.49182803472
T1188398,36584.71923930902
T1188399,36286.66915259957
T1188400,41236.686994920885
T1188401,28913.419380950545
T1188402,18519.035432391378
T1188403,48465.21377399369
T1188404,26228.68667669171
T1188405,33590.40688452503
T1188406,22070.00491575024
T1188407,47840.97328123673
T1188408,33800.03049354607
T1188409,37289.07574436316
T1188410,23968.486932332904
T1188411,51293.9112467268
T1188412,21634.140979850843
T1188413,33678.6972498103
T1188414,25351.80288034989
T1188415,30961.336486312783
T1188416,42661.11386736081
T1188417,48375.600794906066
T1188418,40819.3603627101
T1188419,42531.72576963398
T1188420,49581.45785644633
T1188421,21281.011442674186
T1188422,49229.3539886639
T1188423,65620.62029453494
T1188424,33654.914770727766
T1188425,30950.16931013564
T1188426,34729.79478257277
T1188427,51569.02988585944
T1188428,35204.901863868006
T1188429,56701.87315076185
T1188430,48852.045157020555
T1188431,36400.355773718475
T1188432,18327.704273694722
T1188433,48753.337730971885
T1188434,32603.52207952688
T1188435,32268.20331716645
T1188436,51471.65797258997
T1188437,48125.83379963625
T1188438,22309.69570609683
T1188439,43642.70270563376
T1188440,35586.169346128976
T1188441,28346.474582131963
T1188442,42649.71454120265
T1188443,41002.691421178926
T1188444,34463.81988507815
T1188445,29839.43866168099
T1188446,25396.560259810103
T1188447,54163.806397442466
T1188448,62239.64516746278
T1188449,40275.072513095685
T1188450,31842.700021789056
T1188451,45280.93420764111
T1188452,21561.88024510849
T1188453,39157.23604518119
T1188454,25168.715913472097
T1188455,57971.24182877936
T1188456,26283.10387513752
T1188457,27008.49822027645
T1188458,29106.77339601053
T1188459,59686.669889728415
T1188460,20938.59191212575
T1188461,38860.88346855088
T1188462,33727.499207964625
T1188463,23527.914567079584
T1188464,44378.290091992676
T1188465,39886.70355835746
T1188466,29658.688334490344
T1188467,23250.3178292789
T1188468,40426.624594741894
T1188469,33788.31240322946
T1188470,21947.903954449277
T1188471,40470.33753947217
T1188472,42320.450037795774
T1188473,35012.79147848804
T1188474,52356.85445327797
T1188475,13413.108407175947
T1188476,43282.04732452467
T1188477,31929.68112342522
T1188478,32117.119654437345
T1188479,18718.382045717455
T1188480,43694.81889490587
T1188481,50413.63838184702
T1188482,42306.21318069892
T1188483,47626.662609808045
T1188484,47464.332052399375
T1188485,25249.98922216633
T1188486,19379.08592555713
T1188487,35343.88799376935
T1188488,33645.04629340416
T1188489,29400.90040041974
T1188490,44771.20897154497
T1188491,41750.34478887011
T1188492,25978.006825361834
T1188493,29908.07781975637
T1188494,45765.64737637973
T1188495,22981.54953113619
T1188496,42689.361007064355
T1188497,24777.789484161647
T1188498,29176.636234755846
T1188499,40875.371684794576
T1188500,48279.00138079807
T1188501,30489.266880987747
T1188502,35496.504399609345
T1188503,25858.63617598315
T1188504,29904.353966447095
T1188505,29524.741191903
T1188506,48316.740511075266
T1188507,41716.562944341444
T1188508,39073.50138723249
T1188509,25574.436709653786
T1188510,31774.858311032174
T1188511,33625.83136631357
T1188512,35764.46645401604
T1188513,27875.485109241516
T1188514,33679.73758122286
T1188515,52527.79226852991
T1188516,32269.554302868033
T1188517,51081.08712926474
T1188518,28598.996351144644
T1188519,40839.01038465483
T1188520,20664.602933550075
T1188521,44918.58289681451
T1188522,33064.412361153256
T1188523,28907.760560539704
T1188524,41613.048072761994
T1188525,56249.26850880096
T1188526,29192.57449454452
T1188527,32525.89978188331
T1188528,33058.5317453579
T1188529,48727.03865990561
T1188530,36922.43002212504
T1188531,46271.48084700576
T1188532,41324.762639345936
T1188533,34706.13903386259
T1188534,36424.55532988468
T1188535,48444.79054212837
T1188536,53380.54786292609
T1188537,81059.45406707618
T1188538,52275.264744264365
T1188539,39948.22014116736
T1188540,34016.154271369654
T1188541,33255.64789058094
T1188542,58151.352400763186
T1188543,36253.583922945065
T1188544,38534.40098786839
T1188545,33793.39314324888
T1188546,24389.811034613736
T1188547,35554.20442690819
T1188548,42234.143794196956
T1188549,29875.809586862866
T1188550,37130.61131799183
T1188551,42956.90318666554
T1188552,17197.975883253188
T1188553,38757.28811508701
T1188554,63595.303228458426
T1188555,31469.079559877064
T1188556,56365.07686623888
T1188557,24137.701066932546
T1188558,25796.816981041222
T1188559,35913.24668965081
T1188560,32881.87655676788
T1188561,43478.49457634685
T1188562,25526.863561314596
T1188563,34912.29001111878
T1188564,50483.83113032234
T1188565,36377.80724548812
T1188566,41120.501705414004
T1188567,51216.66426191132
T1188568,21708.14552652867
T1188569,36876.14225187935
T1188570,34121.325798284335
T1188571,25593.876466102436
T1188572,52092.63753383317
T1188573,30211.477279935898
T1188574,34671.72805448336
T1188575,36250.828730147136
T1188576,48345.4588261669
T1188577,35742.83289502213
T1188578,26406.199312488297
T1188579,30031.95987061007
T1188580,29661.258676164187
T1188581,33818.61169133595
T1188582,26885.616277554134
T1188583,30188.666249087124
T1188584,26687.364536817815
T1188585,67378.22163589446
T1188586,28521.290858287553
T1188587,46652.4871299168
T1188588,28834.162277289648
T1188589,23630.499922178336
T1188590,39488.860178488816
T1188591,29254.701896208022
T1188592,31159.923606761953
T1188593,18575.01129158994
T1188594,80193.78263997142
T1188595,25284.59344557857
T1188596,36385.84994181456
T1188597,82752.54923791072
T1188598,50275.36717770232
T1188599,50296.80258104811
T1188600,31014.252301427292
T1188601,41903.761452974475
T1188602,23125.915543581643
T1188603,68369.45228580647
T1188604,37654.157851493634
T1188605,63940.18415373074
T1188606,25455.56285687438
T1188607,54781.78593751429
T1188608,39671.81203622836
T1188609,26677.34785290493
T1188610,57692.04746614935
T1188611,29045.465677090502
T1188612,47950.681288319975
